object	parent_dir	type_obj	size
xbox_360_ukrainian.txt	\localization	file	2112
xbox_360_vietnamese.txt	\localization	file	1633
xbox_one_brazilian.txt	\localization	file	2021
xbox_one_bulgarian.txt	\localization	file	2461
xbox_one_czech.txt	\localization	file	2131
xbox_one_danish.txt	\localization	file	1999
xbox_one_dutch.txt	\localization	file	1931
xbox_one_english.txt	\localization	file	1852
xbox_one_finnish.txt	\localization	file	1977
xbox_one_french.txt	\localization	file	1948
xbox_one_german.txt	\localization	file	1900
xbox_one_greek.txt	\localization	file	2487
xbox_one_hungarian.txt	\localization	file	1830
xbox_one_italian.txt	\localization	file	2041
xbox_one_japanese.txt	\localization	file	1900
xbox_one_korean.txt	\localization	file	1872
xbox_one_koreana.txt	\localization	file	1980
xbox_one_latam.txt	\localization	file	2075
xbox_one_norwegian.txt	\localization	file	2008
xbox_one_polish.txt	\localization	file	2020
xbox_one_portuguese.txt	\localization	file	1995
xbox_one_romanian.txt	\localization	file	2066
xbox_one_russian.txt	\localization	file	2342
xbox_one_schinese.txt	\localization	file	1809
xbox_one_spanish.txt	\localization	file	2075
xbox_one_swedish.txt	\localization	file	2074
xbox_one_tchinese.txt	\localization	file	1764
xbox_one_thai.txt	\localization	file	2674
xbox_one_turkish.txt	\localization	file	1831
xbox_one_ukrainian.txt	\localization	file	2423
xbox_one_vietnamese.txt	\localization	file	1882
controller_android_gamepad_fps.vdf	\templates	file	12794
controller_android_gamepad_joystick.vdf	\templates	file	12794
controller_android_wasd.vdf	\templates	file	18709
controller_apple_gamepad_fps.vdf	\templates	file	12792
controller_apple_gamepad_joystick.vdf	\templates	file	12792
controller_apple_wasd.vdf	\templates	file	18707
controller_generic_gamepad_fps.vdf	\templates	file	12794
controller_generic_gamepad_joystick.vdf	\templates	file	12794
controller_generic_wasd.vdf	\templates	file	18709
controller_mobile_touch_absolute_mouse.vdf	\templates	file	6430
controller_mobile_touch_gamepad_fps.vdf	\templates	file	12949
controller_mobile_touch_gamepad_joystick.vdf	\templates	file	12949
controller_mobile_touch_gamepad_platformer.vdf	\templates	file	12991
controller_mobile_touch_relative_mouse.vdf	\templates	file	5940
controller_mobile_touch_wasd.vdf	\templates	file	18717
controller_neptune_gamepad+mouse.vdf	\templates	file	17951
controller_neptune_gamepad_fps.vdf	\templates	file	15360
controller_neptune_gamepad_joystick.vdf	\templates	file	13567
controller_neptune_gamepad_mouse_gyro.vdf	\templates	file	7766
controller_neptune_mouse.vdf	\templates	file	5520
controller_neptune_touchscreen.vdf	\templates	file	9619
controller_neptune_wasd.vdf	\templates	file	18884
controller_neptune_webbrowser.vdf	\templates	file	11364
controller_ps3_gamepad_fps.vdf	\templates	file	12790
controller_ps3_gamepad_joystick.vdf	\templates	file	12790
controller_ps3_wasd.vdf	\templates	file	18705
controller_ps4_gamepad+mouse.vdf	\templates	file	15313
controller_ps4_gamepad_flickstick.vdf	\templates	file	15570
controller_ps4_gamepad_fps.vdf	\templates	file	13786
controller_ps4_gamepad_joystick.vdf	\templates	file	13420
controller_ps4_gamepad_mouse_gyro.vdf	\templates	file	6359
controller_ps4_wasd.vdf	\templates	file	19058
controller_ps5_gamepad+mouse.vdf	\templates	file	15313
controller_ps5_gamepad_flickstick.vdf	\templates	file	15570
controller_ps5_gamepad_fps.vdf	\templates	file	13786
controller_ps5_gamepad_joystick.vdf	\templates	file	13420
controller_ps5_gamepad_mouse_gyro.vdf	\templates	file	6359
